ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55
Action42,EMG2R,0,-1,-2,0,0,-2,-1,0,-1,-3,-1,0,1,0,-1,0,-1,0,-2,-2,-2,-2,-1,-1,-1,-3,-1,1,-1,-2,-1,-2,-2,0,0,-1,-1,-1,3,-5,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0
Action42,EMG3R,-2,0,-1,-2,1,-2,-3,-1,-2,-2,-2,-1,-1,-1,-3,-1,-3,-2,-1,-2,-1,1,-2,-1,-1,-2,-1,2,-1,-1,0,-3,-3,-3,-1,-1,0,0,1,-1,1,-2,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
Action42,EMG4R,-1,0,-3,-1,0,-1,-2,-1,-3,0,1,-2,-1,-1,-4,0,-1,1,-3,-3,-4,-2,-3,-2,-1,1,0,0,0,0,-2,1,-3,-4,-1,-1,2,0,-1,-2,0,0,-1,-2,1,0,0,0,0,0,0,0,0,0,0
Action42,EMG5R,-2,0,0,-2,1,-2,-1,-2,0,-2,-2,-1,-1,1,-2,-2,0,-1,-1,-1,-2,0,-3,0,-3,-2,-3,-2,-3,0,0,0,-1,1,-2,-1,0,0,0,-1,-1,2,-2,0,1,0,0,0,0,0,0,0,0,0,0
Action42,EMG6R,-1,-2,0,0,-1,0,1,-2,0,-1,0,-1,-1,0,0,0,-1,0,-1,-2,-1,-2,-1,0,3,-2,0,-3,-1,-2,0,0,-2,-2,-1,0,0,0,-2,-1,1,2,-3,-2,-1,0,0,0,0,0,0,0,0,0,0
Action42,EMG7R,0,-1,0,0,0,1,1,1,1,0,0,-3,0,-1,1,-1,-2,0,-4,-3,0,0,-3,-1,2,-3,-1,-1,0,0,1,0,-3,-1,-2,2,-1,-1,-2,-3,0,-2,-1,3,-2,0,0,0,0,0,0,0,0,0,0
Action42,GLX,-0.5625,0,-1.0625,1.5,2,1.5,-0.8125,-18.125,-69.5625,-26,28.1875,44.75,-4.8125,58.625,10.75,-18.1875,8.5,12.0625,3.9375,15.125,45.4375,83,99.1875,77.8125,19.5,2.9375,0,1.375,0.75,1.8125,-2.125,-18.5,-51.375,-105.8125,-135.625,-57.25,67.0625,-96.5,-23.8125,-7.875,12.875,23.4375,11.0625,-0.1875,4.8125,0,0,0,0,0,0,0,0,0,0
Action42,GLY,-0.5625,0,-1.0625,1.5,2,1.5,-0.8125,-18.125,-69.5625,-26,28.1875,44.75,-4.8125,58.625,10.75,-18.1875,8.5,12.0625,3.9375,15.125,45.4375,83,99.1875,77.8125,19.5,2.9375,0,1.375,0.75,1.8125,-2.125,-18.5,-51.375,-105.8125,-135.625,-57.25,67.0625,-96.5,-23.8125,-7.875,12.875,23.4375,11.0625,-0.1875,4.8125,0,0,0,0,0,0,0,0,0,0
Action42,GLZ,-0.5625,0,-1.0625,1.5,2,1.5,-0.8125,-18.125,-69.5625,-26,28.1875,44.75,-4.8125,58.625,10.75,-18.1875,8.5,12.0625,3.9375,15.125,45.4375,83,99.1875,77.8125,19.5,2.9375,0,1.375,0.75,1.8125,-2.125,-18.5,-51.375,-105.8125,-135.625,-57.25,67.0625,-96.5,-23.8125,-7.875,12.875,23.4375,11.0625,-0.1875,4.8125,0,0,0,0,0,0,0,0,0,0
Action42,GRX,-1.5625,-0.25,-0.1875,-1.1875,-0.375,0.8125,-0.75,1.375,3.6875,7.375,-2,-21.8125,-12.75,-12.75,-17.6875,-11.9375,8.875,17.3125,6.3125,-2.875,-8.4375,-9.5,-7,-22,-11.5625,-11.3125,-9.125,-5.125,-0.75,-1.0625,2.0625,9.9375,4.0625,8.125,28.1875,24.25,13.1875,-1.5,-9.1875,14.5,14.3125,9.5,-1.0625,1.75,0.5625,0,0,0,0,0,0,0,0,0,0
