ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44
Action18,ARY,-0.3364258,-0.324707,-0.4394531,-0.3569336,-0.4448242,-0.3330078,-0.3393555,-0.324707,-0.2924805,-0.3154297,-0.3188477,-0.3378906,-0.3125,-0.269043,-0.3129883,-0.2734375,-0.3208008,-0.3095703,-0.2548828,-0.2470703,-0.2392578,-0.2070313,-0.2333984,-0.2114258,-0.2055664,-0.2114258,-0.2016602,-0.2055664,-0.1962891,-0.2026367,-0.1982422,-0.2006836,-0.2182617,-0.2197266,-0.2119141,-0.2070313,-0.2016602,-0.2084961,-0.2089844,-0.2128906,-0.2026367,-0.2104492,-0.2060547,-0.1992188
Action18,ARZ,0.7192383,0.6538086,0.703125,0.5742188,0.5224609,0.5820313,0.5424805,0.4858398,0.4799805,0.4418945,0.3603516,0.3349609,0.3671875,0.3886719,0.2011719,0.1611328,0.1010742,0.03515625,-0.03515625,0.006347656,0.00390625,0.004394531,-0.02978516,-0.04199219,-0.02929688,-0.03222656,-0.02734375,-0.03662109,-0.03271484,-0.03613281,-0.02197266,-0.02294922,-0.02832031,-0.02783203,-0.03222656,-0.03369141,-0.03955078,-0.04736328,-0.046875,-0.03466797,-0.02539063,-0.04199219,-0.02490234,-0.02294922
Action18,EMG0L,0,-4,6,1,3,-17,14,-8,-20,2,0,-3,1,4,0,-2,-6,0,-1,-2,2,6,12,8,-1,-12,-1,-8,-6,-8,-5,-3,3,-13,-1,-9,-1,-13,2,-13,-3,-6,45,-2
Action18,EMG1L,5,-1,-3,6,-2,1,6,-5,-3,1,-1,-5,-3,5,3,-2,-2,-4,-1,-1,1,-1,-1,2,1,-1,-3,-1,-3,-4,-4,-4,-2,-4,-1,-5,2,-2,-1,-2,-3,-1,4,-1
Action18,EMG2L,4,0,-7,6,-12,13,-3,-4,-5,2,-3,-5,-6,8,-1,-1,-4,-4,-3,-2,-1,-1,-2,1,-1,0,-3,-1,-2,-4,-3,-4,-3,-2,0,-1,-1,-3,-2,-2,-2,1,-2,0
Action18,EMG3L,6,-11,-5,1,-26,24,-7,10,-2,1,-4,-6,-7,9,-5,7,-2,-5,-1,2,-3,-2,0,2,-2,1,-1,-1,1,-5,-2,-3,-3,-1,0,0,0,-1,-2,-2,1,1,-2,-2
Action18,EMG4L,3,-1,-1,6,-12,8,-1,-2,-2,-9,-3,-5,-4,9,1,-1,-4,-3,-2,1,-2,0,-2,2,-1,1,0,-3,3,-3,-3,-4,-4,1,0,-1,1,-1,-1,0,0,-2,-2,-1
Action18,EMG5L,4,0,1,8,-10,5,4,-5,-2,-4,-1,-5,-3,5,4,-2,0,-2,-3,0,-1,0,1,3,-4,3,4,-4,4,-2,-4,-2,-7,1,2,0,2,-2,2,2,2,-1,-1,0
Action18,EMG6L,0,-2,1,3,-9,6,8,-9,-5,0,-1,-4,-2,2,2,-2,-3,-3,-3,0,5,0,1,2,-5,9,7,-7,11,3,-12,-5,-9,4,3,1,2,-1,9,2,4,1,-3,1
Action18,EMG7L,1,0,1,-4,1,-7,26,-15,-21,-1,-2,-1,0,2,1,-2,-2,-1,-5,-5,9,-1,0,3,-7,10,9,-20,10,3,-13,-6,-8,1,5,-1,2,-2,13,1,8,2,5,7
Action18,EMG0R,-8,-6,-13,-2,-4,7,-4,1,-3,-1,-1,-3,-4,-1,10,-2,0,0,-12,15,-7,6,-2,8,1,-4,-29,8,-9,1,6,-5,-2,0,1,23,2,-6,4,1,-3,0,1,6
Action18,EMG1R,-5,-11,-10,5,-6,5,-6,5,-9,-6,-1,-3,2,-4,7,-2,-1,-4,-5,8,1,-2,-2,8,-5,1,-16,3,-7,-3,3,-5,-3,1,-3,14,1,-5,-2,5,-4,-3,0,3
Action18,EMG2R,-12,-10,-7,-4,0,1,-12,7,-6,-1,-2,-7,4,-7,6,-2,-1,-4,-3,1,0,-2,-3,2,-4,-1,-7,1,-3,-4,1,-1,-1,-1,-1,5,1,-1,-2,1,-4,-2,1,2
Action18,EMG3R,-24,6,12,-20,7,-19,-11,12,-5,-3,-2,-12,4,-10,-1,-2,3,-8,-4,-2,2,-1,-2,-2,-3,-2,0,-1,0,-2,-1,-1,2,-4,1,2,-2,-1,-4,-1,-2,-1,0,2
Action18,EMG4R,-20,-13,9,9,-1,-2,-19,3,-4,0,-3,-7,7,-2,9,0,0,-6,-2,0,1,0,-1,-1,-3,-3,-2,0,-1,-2,-1,-1,0,-3,1,-1,-2,-2,-3,0,-3,-3,-2,0
Action18,EMG5R,-5,-5,9,10,-15,5,-2,1,-6,-3,-3,-6,7,0,18,0,4,-6,-4,-1,8,-5,4,-2,-4,-6,1,-3,5,-1,-1,4,4,-5,6,1,-8,-3,0,-2,-3,-7,-2,0
Action18,EMG6R,82,-1,-27,-18,-29,48,16,18,2,-16,-10,-10,29,3,46,-5,0,-18,-9,-11,9,2,-19,2,3,9,16,-15,11,5,4,-1,8,19,11,5,-16,1,8,1,-15,-30,1,-3
Action18,EMG7R,-13,-1,8,-30,-5,49,14,12,2,-2,3,0,0,-3,19,-7,2,1,-10,22,-20,15,-9,1,-1,-12,-52,12,-6,-3,-3,-7,-9,12,0,39,15,-10,8,-6,1,7,-3,3
Action18,GLX,-34.6875,-23.125,-17.3125,-2.9375,4.375,-5.9375,3.75,-0.1875,2.8125,0,4.4375,26.625,48.125,55.8125,55.4375,48.625,40.5625,17.4375,-9.4375,-18.9375,-25.3125,-1,7.8125,6.8125,-2.875,-0.25,-0.375,-2.3125,-0.25,1.25,-3.375,-4.1875,-3.25,2.8125,0.5625,-1.25,-0.9375,-1.1875,-0.5625,-1.0625,-1.625,-2.1875,-1.1875,-0.9375
Action18,GLY,-34.6875,-23.125,-17.3125,-2.9375,4.375,-5.9375,3.75,-0.1875,2.8125,0,4.4375,26.625,48.125,55.8125,55.4375,48.625,40.5625,17.4375,-9.4375,-18.9375,-25.3125,-1,7.8125,6.8125,-2.875,-0.25,-0.375,-2.3125,-0.25,1.25,-3.375,-4.1875,-3.25,2.8125,0.5625,-1.25,-0.9375,-1.1875,-0.5625,-1.0625,-1.625,-2.1875,-1.1875,-0.9375
